snapshot_date,created_at_utc,run_id,provider,source_file,symbol,coverage_domain,signal_coverage_status,starmine_ess_text,starmine_ess_numeric,starmine_ess_numeric_estimated,starmine_ess_source_type
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,WRB,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,BIIB,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,XYZ,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,BP,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,BFH,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,AVGO,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,BMBL,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CALM,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CRC,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CM,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CNI,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CNQ,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CAH,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CARS,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CPRX,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CBOE,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CVE,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CF,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CHTR,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CLDT,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CHRD,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CIEN,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CRUS,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,YOU,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CLMB,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CCNE,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,COHR,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CMCO,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CMCSA,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CYH,STARMINE_COVERED,COVERED,BULLISH,4.0,True,TEXT_MAPPED
2026-05-13,2026-05-13T15:28:42.825732+00:00,RUN-REAL-ESS-20260513-002,FIDELITY,SecurityExtract_ESS_2026May13.csv,CTBI,STARMINE_COVERED,COVERED,VERY_BULLISH,5.0,True,TEXT_MAPPED
