ess_category,ess_5pt,n_30d,avg_return_30d,median_return_30d,win_rate_30d,volatility_30d,n_60d,avg_return_60d,median_return_60d,win_rate_60d,volatility_60d,n_90d,avg_return_90d,median_return_90d,win_rate_90d,volatility_90d
VERY_BEARISH,1,2065,2.5159,0.4329,51.19,18.6317,256,10.8388,6.0236,65.23,27.2257,0,,,,
BEARISH,2,5147,1.3061,-0.4537,47.52,16.3547,698,6.6488,3.7776,61.03,23.914,94,5.7014,1.7326,53.19,28.9611
NEUTRAL,3,8564,1.7999,0.2593,51.17,18.4176,1427,7.5289,4.9475,63.28,26.5051,547,4.8446,3.6331,59.6,21.405
BULLISH,4,10626,1.8154,0.6615,53.43,13.8635,4600,4.5572,2.5127,58.72,17.1689,3628,6.042,3.0736,58.13,22.6849
VERY_BULLISH,5,6403,1.984,0.7963,54.13,13.4754,3454,5.5199,3.1199,60.36,18.3654,2762,5.4622,3.0168,57.71,23.3771
