model,ccl_mult,hca_mult,label,top1_pct,top5_pct,top10_pct,ccl_alloc_pct,hca_alloc_pct,ccl_per_cand,hca_per_cand,ccl_premium,r_comp_alloc,r_cwdas_alloc,r_weight_alloc,kendall_tau,vrt_alloc,arw_alloc,vrt_arw_ratio
A,3.00,1.00,Current (CCL=3.0 HCA=1.0),32.21,55.71,74.20,32.21,67.79,10687.22,1183.58,9.0296,0.3252,0.6151,0.8944,0.8947,10687.22,2481.56,4.3067
B,2.50,1.00,CCL=2.5 HCA=1.0,28.37,53.20,72.74,28.37,71.63,9411.32,1250.73,7.5247,0.3624,0.6466,0.8936,0.8947,9411.32,2622.36,3.5889
C,2.00,1.00,CCL=2.0 HCA=1.0,24.06,50.38,71.10,24.06,75.94,7981.93,1325.96,6.0197,0.4184,0.6924,0.8884,0.8947,7981.93,2780.09,2.8711
D,2.00,1.25,CCL=2.0 HCA=1.25,20.22,47.87,69.64,20.22,79.78,6708.35,1392.99,4.8158,0.4872,0.7459,0.8746,0.8947,6708.35,2920.63,2.2969
E,1.75,1.25,CCL=1.75 HCA=1.25,18.15,46.52,68.85,18.15,81.85,6022.02,1429.11,4.2138,0.5344,0.7806,0.8598,0.8947,6022.02,2996.37,2.0098
F,1.50,1.00,CCL=1.50 HCA=1.0,19.20,47.21,69.25,19.20,80.80,6369.58,1410.82,4.5148,0.5095,0.7625,0.8682,0.8947,6369.58,2958.01,2.1533
G,1.00,1.00,No Amplification (CCL=1.0 HCA=1.0),13.68,43.60,67.14,13.68,86.32,4536.73,1507.29,3.0099,0.6667,0.8658,0.7862,0.8947,4536.73,3160.27,1.4356
