model,ccl_mult,hca_mult,vrt_alloc,arw_alloc,vrt_arw_ratio,vrt_rank,arw_rank,signal_only_ratio,incumbency_amplification,incumbency_premium_pct
A,3.00,1.00,10687.22,2481.56,4.3067,1,2,1.4356,3.0000,+200%
B,2.50,1.00,9411.32,2622.36,3.5889,1,2,1.4356,2.5000,+150%
C,2.00,1.00,7981.93,2780.09,2.8711,1,2,1.4356,2.0000,+100%
D,2.00,1.25,6708.35,2920.63,2.2969,1,2,1.4356,1.6000,+60%
E,1.75,1.25,6022.02,2996.37,2.0098,1,2,1.4356,1.4000,+40%
F,1.50,1.00,6369.58,2958.01,2.1533,1,2,1.4356,1.5000,+50%
G,1.00,1.00,4536.73,3160.27,1.4356,1,2,1.4356,1.0000,0%
